Team Name,Team Points,Rushing TDs,Punt Return Yards,Punt Returns,Passing TDs,Kick Return Yards,Kick Returns,Kicking Points,Tackles For Loss,Defensive TDs,Tackles,Sacks,QB Hurries,Passes Deflected,Possession Time,Interceptions,Turnovers,Total Penalties Yards,Yards Per Rush Attempt,Rushing Attempts,Rushing Yards,Yards Per Pass,Completion Attempts,Net Passing Yards,Total Yards,Fourth Down Effects,Third Down Effects,First Downs
Illinois,21,1,0,0,1,0,0,7,7,0,37,5,2,2,26:26,0,0,6-50,4.9,38,187,4.2,9-19,80,267,0,0,18
Michigan,7,1,18,1,0,20,1,1,8,0,27,1,2,5,33:34,1,3,6-61,3.0,38,114,6.5,20-32,208,322,0,0,20
Arkansas State,18,0,0,0,2,0,0,4,4,0,38,2,1,1,25:36,1,1,3-25,2.3,25,58,5.0,26-44,222,280,0,0,17
Michigan,28,3,0,0,1,13,1,4,3,0,39,1,3,9,34:24,3,3,7-69,6.8,44,301,7.4,13-18,134,435,0,0,20
Washington,27,1,0,0,2,0,0,9,3,0,34,1,0,4,29:30,1,1,2-20,3.3,35,114,9.5,23-33,315,429,0,0,23
Michigan,17,1,0,1,1,25,2,5,6,0,39,4,0,2,30:30,1,2,5-40,4.7,37,174,4.5,13-25,113,287,0,0,17
USC,24,0,19,3,3,0,0,6,7,0,41,2,2,2,30:42,1,2,6-32,4.6,21,96,5.4,28-52,283,379,0,0,17
Michigan,27,3,34,3,0,16,1,3,8,1,36,4,10,8,29:18,0,2,3-25,6.3,46,290,2.7,7-12,32,322,0,0,12
Michigan,24,1,22,2,2,0,0,4,6,0,45,3,0,3,22:55,0,0,0-0,3.8,31,119,7.3,14-20,146,265,0,0,17
Michigan State,17,1,0,0,1,0,1,5,4,0,29,0,0,0,37:05,0,1,6-35,3.9,42,163,8.2,17-23,189,352,0,0,18
Fresno State,10,0,3,1,1,0,0,4,4,0,37,1,2,1,26:00,2,2,3-19,0.4,22,9,6.5,22-36,235,244,0,0,18
Michigan,30,0,32,2,2,74,3,12,6,1,30,3,2,4,34:00,1,1,5-70,4.4,34,148,4.5,16-27,121,269,0,0,18
Michigan,17,0,0,0,2,64,3,5,3,0,43,0,5,3,27:32,0,0,5-35,3.8,28,105,6.6,13-25,165,270,0,0,11
Oregon,38,4,21,2,1,20,1,8,7,0,28,0,3,2,32:28,0,1,2-10,4.8,37,176,8.6,22-34,294,470,0,0,23
Michigan,12,0,8,1,1,69,4,6,4,0,41,0,5,2,28:40,2,3,4-30,3.7,22,82,6.2,22-33,204,286,0,0,13
Texas,31,1,0,0,3,37,2,7,3,0,28,1,5,4,31:20,0,0,7-45,4.5,32,143,6.8,24-36,246,389,0,0,19
Michigan,27,2,23,2,1,0,0,9,9,0,39,5,5,3,33:16,1,1,5-54,3.6,43,155,4.8,10-18,86,241,0,0,15
Minnesota,24,2,82,2,1,26,2,6,6,0,34,1,1,2,26:44,1,2,7-51,1.5,25,38,6.5,27-40,258,296,0,0,20
Indiana,20,0,49,3,2,0,0,8,4,0,26,0,3,8,26:52,1,1,5-54,1.4,28,40,7.4,17-28,206,246,0,0,14
Michigan,15,1,0,1,0,100,4,9,8,0,33,4,0,4,33:08,0,1,3-30,2.0,34,69,4.3,16-32,137,206,0,0,16
