Team Name,Team Points,Rushing TDs,Punt Return Yards,Punt Returns,Passing TDs,Kick Return Yards,Kick Returns,Kicking Points,Tackles For Loss,Defensive TDs,Tackles,Sacks,QB Hurries,Passes Deflected,Possession Time,Interceptions,Turnovers,Total Penalties Yards,Yards Per Rush Attempt,Rushing Attempts,Rushing Yards,Yards Per Pass,Completion Attempts,Net Passing Yards,Total Yards,Fourth Down Effects,Third Down Effects,First Downs
Akron,6,0,0,0,0,0,0,6,0,0,29,0,0,5,34:03,2,3,5-35,1.3,35,47,4.5,18-29,130,177,0,0,11
Ohio State,52,2,60,4,3,23,1,10,10,2,32,5,1,3,25:57,0,0,7-45,5.2,33,170,7.5,18-31,234,404,0,0,24
Purdue,0,0,0,1,0,0,0,0,3,0,36,1,0,3,29:11,1,2,0-0,2.6,38,98,5.1,9-21,108,206,0,0,15
Ohio State,45,2,7,1,3,18,1,9,5,1,27,4,5,6,30:49,0,0,3-44,4.9,35,173,8.4,21-31,260,433,0,0,24
Ohio State,21,0,8,1,3,33,2,3,13,0,39,3,0,1,24:53,1,1,3-36,2.1,31,64,13.8,13-16,221,285,0,0,11
Nebraska,17,1,3,1,0,0,1,9,7,0,27,2,0,1,35:07,1,1,7-62,3.7,33,121,4.6,21-33,152,273,0,0,18
Penn State,13,0,21,2,0,66,3,7,6,1,36,3,0,3,28:31,1,1,5-45,3.8,32,120,7.1,13-21,150,270,0,0,15
Ohio State,20,0,0,0,2,16,1,8,3,0,28,2,0,3,31:29,1,2,2-15,4.7,38,179,7.6,16-24,182,361,0,0,21
Ohio State,35,1,3,1,4,14,1,5,9,0,28,4,1,1,34:46,1,2,1-10,5.1,40,203,8.4,21-25,209,412,0,0,21
Iowa,7,1,12,1,0,19,1,1,2,0,35,1,1,1,25:14,1,3,1-5,4.3,27,116,5.2,15-21,110,226,0,0,10
Michigan State,7,0,0,0,1,0,0,1,3,0,43,0,3,2,24:17,1,3,2-19,1.9,25,47,8.0,16-25,199,246,0,0,13
Ohio State,38,2,19,2,3,0,0,8,7,0,26,4,2,2,35:43,1,1,4-40,5.3,35,185,7.5,26-40,298,483,0,0,23
Oregon,32,2,0,1,2,0,0,8,3,0,36,1,4,0,26:56,0,0,3-25,5.0,31,155,10.0,23-34,341,496,0,0,18
Ohio State,31,2,0,0,2,0,0,7,2,0,31,0,2,5,33:04,0,1,8-70,4.3,33,141,9.3,28-35,326,467,0,0,21
Western Michigan,0,0,-5,2,0,30,2,0,5,0,44,2,2,5,25:24,0,0,1-2,0.9,31,28,4.2,8-17,71,99,0,0,6
Ohio State,56,6,6,6,2,0,1,8,5,0,26,3,2,5,34:36,0,0,6-58,7.0,39,273,12.4,25-33,410,683,0,0,30
Ohio State,49,5,21,1,2,0,0,7,7,0,39,1,0,3,23:45,1,1,5-54,9.0,31,280,11.1,18-26,289,569,0,0,23
Marshall,14,1,0,0,1,20,1,2,3,0,24,1,0,2,36:15,0,0,8-52,2.9,43,125,5.1,18-27,139,264,0,0,18
