Team,Expected Wins,Total Wins,Total Losses,Conference Wins,Conference Losses,Home Wins,Home Losses,Away Wins,Away Losses
Arizona State,6.8,7,2,4,2,5,0,2,2
Arizona,3.3,3,6,1,5,2,3,1,3
Colorado,5.2,7,2,5,1,3,1,4,1
Iowa State,6,7,2,4,2,4,1,3,0
Oklahoma State,2.9,3,7,0,7,2,3,1,4
Baylor,5.3,5,4,3,3,4,1,1,3
Houston,4.6,4,5,3,3,3,2,1,2
BYU,6.5,9,0,6,0,4,0,5,0
Utah,4.9,4,5,1,5,2,3,2,2
West Virginia,4.2,5,4,4,2,2,3,3,1
UCF,6.7,4,6,2,5,3,3,1,3
Cincinnati,5.1,5,4,3,3,3,2,2,2
Kansas,5.6,3,6,2,4,0,0,0,4
Kansas State,6.7,7,2,4,2,4,0,3,2
TCU,6.3,6,4,4,3,3,2,2,2
Texas Tech,4.3,6,4,4,3,4,2,2,2
