Team Name,Team Points,Rushing TDs,Punt Return Yards,Punt Returns,Passing TDs,Kick Return Yards,Kick Returns,Kicking Points,Tackles For Loss,Defensive TDs,Tackles,Sacks,QB Hurries,Passes Deflected,Possession Time,Interceptions,Turnovers,Total Penalties Yards,Yards Per Rush Attempt,Rushing Attempts,Rushing Yards,Yards Per Pass,Completion Attempts,Net Passing Yards,Total Yards,Fourth Down Effects,Third Down Effects,First Downs
Miami,41,2,7,1,3,0,1,11,8,0,29,3,1,5,34:30,1,1,2-26,4.4,33,144,10.7,26-36,385,529,0,0,25
Florida,17,2,28,2,0,35,1,5,2,0,36,1,4,3,25:30,2,2,2-25,5.0,28,139,4.7,14-26,122,261,0,0,17
Florida,48,5,0,0,0,62,3,12,3,1,31,1,9,6,30:04,1,1,4-40,4.5,44,197,18.6,8-15,279,476,0,0,16
Kentucky,20,1,7,1,1,121,3,2,8,1,28,2,2,3,29:56,3,3,3-30,4.2,35,146,5.2,12-32,165,311,0,0,17
Georgia,34,2,21,3,2,4,1,10,6,0,26,2,7,3,33:35,3,3,5-48,4.6,32,148,7.7,25-40,309,457,0,0,25
Florida,20,1,-1,1,1,34,2,8,4,0,32,2,4,3,26:25,1,1,5-42,3.9,37,146,4.0,9-28,113,259,0,0,13
Mississippi State,28,3,0,1,1,57,2,4,2,0,32,0,0,1,32:24,0,1,8-70,4.3,56,240,7.1,20-34,240,480,0,0,31
Florida,45,3,35,1,3,0,1,9,7,1,34,3,4,6,27:36,0,1,6-54,6.3,36,226,9.9,26-28,277,503,0,0,28
UCF,13,1,0,0,0,33,2,7,4,0,37,0,0,2,27:44,1,1,6-39,2.7,40,108,7.5,12-22,165,273,0,0,20
Florida,24,2,0,0,1,12,1,6,7,0,30,5,0,3,32:16,0,0,8-64,4.1,32,130,8.2,23-28,229,359,0,0,18
Florida,17,0,57,2,2,0,0,5,8,0,35,3,1,2,34:56,1,2,6-36,3.5,40,138,7.0,20-32,223,361,0,0,22
Tennessee,23,3,34,2,0,0,0,5,12,0,32,3,3,4,25:04,1,2,6-47,3.3,43,143,6.5,16-26,169,312,0,0,18
Florida,17,2,0,0,0,49,3,5,3,0,35,1,1,1,32:06,2,3,4-35,4.8,41,197,5.3,12-25,132,329,0,0,20
Texas,49,2,13,1,5,0,0,7,4,0,36,1,4,4,27:54,0,1,7-70,6.8,31,210,10.7,22-33,352,562,0,0,23
Florida,20,1,0,0,2,82,3,2,2,0,45,0,4,1,22:14,3,3,7-65,2.1,25,52,8.6,18-29,249,301,0,0,19
Texas A&M,33,1,0,1,2,0,0,9,5,1,25,2,3,2,37:46,0,0,13-110,5.6,55,310,10.5,11-17,178,488,0,0,27
Florida,45,3,37,3,3,31,1,9,12,0,38,4,6,5,26:30,0,1,7-77,4.9,34,166,16.6,19-28,466,632,0,0,21
Samford,7,1,-5,1,0,18,1,1,1,0,29,0,3,2,33:30,0,1,3-30,1.7,35,61,4.4,22-33,144,205,0,0,15
